customer_name,opportunity_id,customer_id,Product,qty,price,Earliest_Year,Latest_Year,cluster_class,cluster_class_name,Web_act1_time_bckt1,Web_act1_time_bckt2,Web_act1_time_bckt3,Web_act1_time_bckt4,Web_act1_time_bckt5,Web_act2_time_bckt1,Web_act2_time_bckt2,Web_act2_time_bckt3,Web_act2_time_bckt4,Web_act2_time_bckt5,Web_act3_time_bckt1,Web_act3_time_bckt2,Web_act3_time_bckt3,Web_act3_time_bckt4,Web_act3_time_bckt5,num_support_req_time_bckt1,num_support_req_time_bckt2,num_support_req_time_bckt3,num_support_req_time_bckt4,num_support_req_time_bckt5,num_pos_chat_time_bckt1,num_pos_chat_time_bckt2,num_pos_chat_time_bckt3,num_pos_chat_time_bckt4,num_pos_chat_time_bckt5,num_neg_chat_time_bckt1,num_neg_chat_time_bckt2,num_neg_chat_time_bckt3,num_neg_chat_time_bckt4,num_neg_chat_time_bckt5,num_pos_email_time_bckt1,num_pos_email_time_bckt2,num_pos_email_time_bckt3,num_pos_email_time_bckt4,num_pos_email_time_bckt5,num_neg_email_time_bckt1,num_neg_email_time_bckt2,num_neg_email_time_bckt3,num_neg_email_time_bckt4,num_neg_email_time_bckt5,num_pos_tweets_time_bckt1,num_pos_tweets_time_bckt2,num_pos_tweets_time_bckt3,num_pos_tweets_time_bckt4,num_pos_tweets_time_bckt5,num_neg_tweets_time_bckt1,num_neg_tweets_time_bckt2,num_neg_tweets_time_bckt3,num_neg_tweets_time_bckt4,num_neg_tweets_time_bckt5,Revenue,num_days_ss1,num_days_ss2,num_days_ss3,num_days_ss4,num_days_ss5,num_days_ss6,current_ss,days_in_curr_ss,opentasks_time_bckt1,opentasks_time_bckt2,opentasks_time_bckt3,opentasks_time_bckt4,opentasks_time_bckt5,num_closed_tsk_time_bckt1,num_closed_tsk_time_bckt2,num_closed_tsk_time_bckt3,num_closed_tsk_time_bckt4,num_closed_tsk_time_bckt5,num_sp_pos_com_time_bckt1,num_sp_pos_com_time_bckt2,num_sp_pos_com_time_bckt3,num_sp_pos_com_time_bckt4,num_sp_pos_com_time_bckt5,num_sp_neg_com_time_bckt1,num_sp_neg_com_time_bckt2,num_sp_neg_com_time_bckt3,num_sp_neg_com_time_bckt4,num_sp_neg_com_time_bckt5,opportunity_value,OverAll_Sum_of_shipped_qty,OverAll_Sum_of_tot_net_amt,Number_of_periods_sold,Total_Periods_of_activity,% of time product sold,pred_run_date,distance_to_centroid,qfi_overall,qfi-web_intra,qfi-hd-intra,qfi-crm-intra,qfi-sh-intra,qfi-sm-intra,qfi-web-inter,qfi-hd-inter,qfi-crm-inter,qfi-sh-inter,qfi-sm-inter
"ADVAN, LLC",10014,14,openfix,19,295,200601,201301,3,SOMEWHAT UNLIKELY,84,101,101,63,154,98,137,137,88,227,33,10,8,34,10,5,2,1,1,2,1,5,1,4,5,1,2,3,1,1,3,0,2,2,1,1,2,1,1,1,0,1,3,4,1,3,5,3,0,1,5605,13,29,11,0,0,0,3,11,3,0,2,1,3,0,0,1,1,1,0,3,1,1,0,1,1,3,2,3,5605,52,15340,30,84,0.36,,,,,,,,,,,,,
ADVANCED FOLIAR NUTRIENTS SYSTEMS,10015,15,Statip,18,100,200701,201407,3,SOMEWHAT UNLIKELY,94,112,112,70,174,104,145,145,81,250,39,24,54,41,33,1,3,1,5,1,2,3,1,3,5,0,4,2,2,1,3,5,0,1,2,2,1,2,0,2,4,3,1,1,1,3,1,1,0,0,1800,12,30,27,14,0,0,4,14,1,0,3,1,2,0,2,3,1,0,3,3,1,1,4,1,1,1,0,4,1800,91,9100,57,90,0.63,,,,,,,,,,,,,
"ADVANCED MICROBIOLOGICS, LLC",10016,16,solbam,11,85,200606,201507,0,MOST LIKELY,76,91,91,57,138,89,125,125,83,203,26,67,22,20,36,0,3,0,1,1,5,2,1,0,0,1,1,5,2,1,5,0,1,2,1,1,4,1,2,2,1,1,2,2,0,2,2,3,2,3,935,28,12,0,0,0,0,2,12,2,0,0,2,5,2,1,2,3,2,2,1,2,3,5,1,2,1,0,4,935,73,6205,103,109,0.94,,,,,,,,,,,,,
"AEGIS ENVIRONMENTAL MGT., INC.",10017,17,Statip,19,100,201011,201506,3,SOMEWHAT UNLIKELY,132,158,158,99,243,138,193,193,137,303,34,27,31,24,16,0,2,5,2,3,3,2,2,1,0,1,2,2,2,1,2,1,1,0,3,3,0,0,0,4,1,2,0,3,2,1,4,0,2,5,1900,29,28,17,27,16,29,6,29,0,3,2,2,0,3,0,3,1,0,1,3,1,3,5,0,1,1,2,1,1900,58,5800,20,55,0.36,,,,,,,,,,,,,
"AERIS ENVIRONMENTAL, LTD.",10018,18,Voyalight,12,150,200601,201308,3,SOMEWHAT UNLIKELY,90,108,108,68,168,93,130,130,90,207,24,17,50,22,21,5,1,2,4,1,1,0,3,5,1,1,2,2,3,2,2,3,2,1,1,0,2,1,1,0,1,0,3,1,4,1,1,1,4,3,1800,12,10,12,17,14,19,6,19,2,1,2,1,0,0,1,1,1,1,2,3,1,0,0,1,0,3,0,3,1800,77,11550,85,91,0.93,,,,,,,,,,,,,
AERO CHEMICAL COMPANY,10019,19,Voyalight,11,150,200706,201507,0,MOST LIKELY,66,79,79,50,122,72,101,101,60,169,15,23,60,9,21,4,2,2,1,2,1,1,2,2,1,1,4,1,0,3,2,4,1,0,0,2,0,0,0,0,2,1,2,2,3,4,2,1,1,4,1650,28,24,0,0,0,0,2,24,2,0,3,1,0,2,3,2,3,3,0,1,1,1,3,1,0,3,3,2,1650,51,7650,98,97,1.01,,,,,,,,,,,,,
AERUS LLC,10020,20,mathstring,16,195,200601,201505,3,SOMEWHAT UNLIKELY,111,133,133,83,206,123,172,172,100,294,22,38,37,18,26,1,5,1,2,3,0,0,3,4,0,2,4,2,2,1,1,0,1,0,4,2,1,2,0,5,2,2,3,0,1,1,1,1,5,0,3120,14,20,0,0,0,0,2,20,3,0,1,1,0,0,3,0,1,2,1,0,2,0,3,0,1,2,3,3,3120,45,8775,110,112,0.98,,,,,,,,,,,,,
AERVOE INDUSTRIES INC.,10021,21,signtouch,18,395,200612,201507,3,SOMEWHAT UNLIKELY,122,146,146,91,224,131,183,183,112,308,40,39,23,17,28,0,2,3,2,1,3,2,0,2,1,1,0,3,2,0,2,2,0,4,1,0,3,0,2,1,1,0,1,1,5,1,3,1,0,0,7110,21,18,0,0,0,0,2,18,1,1,3,0,4,2,2,1,3,5,2,3,0,1,5,2,1,2,3,0,7110,50,19750,55,103,0.53,,,,,,,,,,,,,
"AFFLAB, AFFILIATED LABORATORIES A DIV. OF AFFLINK ",10022,22,signtouch,12,395,200601,201402,3,SOMEWHAT UNLIKELY,112,134,134,84,206,113,159,159,102,260,11,18,21,25,8,1,0,3,3,0,3,2,0,0,0,1,1,1,0,1,2,0,0,1,0,1,1,4,1,0,2,2,1,1,1,3,1,1,2,0,4740,21,30,23,16,30,20,6,20,2,0,3,1,0,0,3,3,3,5,1,2,2,2,1,3,2,1,1,2,4740,69,27255,82,97,0.85,,,,,,,,,,,,,
"AFFLINK, LLC",10023,23,openfix,14,295,201107,201312,3,SOMEWHAT UNLIKELY,124,148,148,93,228,126,176,176,128,274,18,23,20,23,49,4,2,0,5,1,2,1,1,1,0,1,3,4,0,2,4,0,2,2,0,1,1,1,2,2,5,0,0,0,0,1,0,3,2,0,4130,18,10,0,0,0,0,2,10,3,2,0,3,0,1,2,0,0,5,2,2,3,2,0,1,1,3,1,0,4130,82,24190,12,29,0.41,,,,,,,,,,,,,
AFTON CHEMICAL CORPORATION,10024,24,labfax,7,495,201109,201304,0,MOST LIKELY,82,99,99,62,152,85,119,119,78,194,44,37,29,54,21,0,2,1,1,1,4,0,0,2,2,2,0,0,1,0,0,3,3,1,0,0,1,0,1,1,1,0,3,1,0,2,1,4,1,3,3465,10,20,0,0,0,0,2,20,1,1,2,3,3,3,2,2,1,5,1,1,0,1,4,2,2,3,2,2,3465,88,43560,12,19,0.63,,,,,,,,,,,,,
AGAN CHEMICAL MFG. LTD.,10025,25,solbam,20,85,200712,201504,3,SOMEWHAT UNLIKELY,100,120,120,75,184,103,144,144,108,219,50,37,49,99,24,1,1,5,3,1,2,2,0,0,1,1,1,0,1,5,1,1,2,0,1,1,2,2,2,2,2,1,3,0,1,1,5,2,2,2,1700,30,13,20,20,28,0,5,28,3,1,0,2,3,3,0,2,3,3,2,3,3,2,5,2,1,3,1,1,1700,78,6630,19,88,0.22,,,,,,,,,,,,,
AGBIOCHEM INC,10026,26,apstring,13,90,201001,201104,3,SOMEWHAT UNLIKELY,119,143,143,90,221,118,165,165,108,270,30,46,19,65,45,0,0,2,4,3,2,0,2,3,5,1,1,1,3,2,5,5,5,2,3,0,1,0,1,5,5,2,1,2,3,2,1,5,2,0,1170,24,10,0,0,0,0,2,10,1,2,1,2,2,3,2,3,0,4,1,2,3,1,0,2,1,1,1,1,1170,50,4500,5,15,0.33,,,,,,,,,,,,,
AGCO PARTS DIVISION,10027,27,openfix,10,295,200912,201103,0,MOST LIKELY,75,90,90,56,138,85,119,119,86,184,40,61,13,23,35,1,2,2,2,2,0,2,2,3,0,1,5,3,1,1,2,2,5,2,1,4,1,3,2,2,5,5,2,2,1,2,0,0,0,3,2950,28,28,12,16,26,11,6,11,1,3,3,0,5,0,0,1,1,5,0,2,0,0,5,2,2,0,1,3,2950,81,23895,3,15,0.2,,,,,,,,,,,,,
"AGRAQUEST, INC.",10028,28,apstring,20,90,200806,201106,3,SOMEWHAT UNLIKELY,100,120,120,75,184,109,152,152,110,238,46,38,41,38,30,1,1,5,2,1,2,1,0,4,1,3,4,1,4,2,3,2,2,2,0,2,1,0,1,2,0,2,1,1,2,1,1,5,5,2,1800,16,14,23,0,0,0,3,23,2,0,0,0,1,0,2,1,3,3,2,0,2,2,1,0,3,3,1,4,1800,29,2610,34,36,0.94,,,,,,,,,,,,,
"AGRASYST, LLC",10029,29,Statip,10,100,200908,201106,0,MOST LIKELY,80,96,96,60,149,86,120,120,98,176,44,19,17,8,35,4,3,0,0,2,1,1,1,2,1,0,3,0,0,0,2,4,2,0,1,1,0,2,0,2,0,3,1,2,1,2,2,1,1,1,1000,27,19,25,0,0,0,3,25,0,0,0,1,3,1,1,2,0,0,3,0,0,0,2,2,2,0,2,2,1000,91,9100,20,22,0.91,,,,,,,,,,,,,
"AGRIA CANADA, INC.",10030,30,labfax,8,495,200803,201208,3,SOMEWHAT UNLIKELY,103,124,124,77,191,106,148,148,97,242,11,70,35,13,32,1,2,1,0,5,1,0,2,1,3,3,1,3,0,1,1,2,1,5,0,1,2,2,3,5,4,0,2,2,0,3,2,2,0,1,3960,20,21,0,0,0,0,2,21,0,3,1,3,2,0,2,0,0,4,2,1,1,3,1,1,1,0,3,5,3960,63,31185,45,53,0.85,,,,,,,,,,,,,
AGRIPHAR S.A.,10031,31,solbam,17,85,201104,201405,3,SOMEWHAT UNLIKELY,122,146,146,91,225,126,177,177,116,289,11,44,28,20,40,2,4,1,5,1,1,0,0,4,1,4,2,1,1,1,1,1,1,0,0,3,0,1,2,0,1,2,3,0,1,0,3,0,5,4,1445,20,14,29,25,11,0,5,11,0,0,2,1,0,3,0,3,3,0,0,3,2,2,0,1,0,2,0,2,1445,71,6035,4,37,0.11,,,,,,,,,,,,,
"AGRISEL USA, INC.",10032,32,apstring,8,90,200803,201205,3,SOMEWHAT UNLIKELY,114,137,137,86,212,117,164,164,112,262,34,11,37,38,7,1,5,1,1,4,0,1,2,4,0,1,1,4,4,2,2,1,0,2,3,2,1,2,3,4,1,0,2,0,1,1,1,2,3,1,720,15,14,14,19,0,0,4,19,0,3,3,0,1,3,0,0,2,0,1,1,0,0,0,2,2,2,2,3,720,93,8370,37,50,0.74,,,,,,,,,,,,,
AGRIUM ADVANCED TECHNOLOGIES (U.S.) INC.,10033,33,Statip,13,100,200601,201507,3,SOMEWHAT UNLIKELY,105,126,126,79,192,110,154,154,98,252,14,77,23,42,16,1,0,1,3,1,0,0,1,0,1,4,1,1,4,2,4,0,3,1,2,3,1,1,2,1,1,1,2,0,0,1,0,1,1,1,1300,17,15,10,18,0,0,4,18,3,0,1,0,2,3,3,2,2,4,2,2,2,1,0,1,0,2,0,0,1300,97,9700,112,114,0.98,,,,,,,,,,,,,
"AGRO LOGISTIC SYSTEMS, INC.",10034,34,openfix,11,295,201202,201507,0,MOST LIKELY,67,80,80,50,122,77,108,108,90,159,37,23,25,47,27,0,4,3,0,3,1,0,1,2,1,1,2,2,4,1,1,3,1,2,2,3,2,2,1,0,4,1,4,1,1,3,1,2,5,2,3245,15,21,0,0,0,0,2,21,0,2,1,1,1,2,3,0,1,1,0,2,1,2,4,1,3,0,2,4,3245,83,24485,40,41,0.98,,,,,,,,,,,,,
"AGRO VALLEY ENTERPRISES, INC.",10035,35,zonair,13,125,200711,201501,3,SOMEWHAT UNLIKELY,100,120,120,75,185,105,147,147,124,213,15,39,19,43,20,1,1,5,2,1,1,2,1,1,5,1,1,3,4,1,2,1,4,0,2,0,0,3,5,1,1,0,2,0,2,2,1,0,1,1,1625,11,14,0,0,0,0,2,14,3,3,1,0,5,2,2,1,2,3,0,1,2,3,0,0,0,3,2,3,1625,59,7375,45,86,0.52,,,,,,,,,,,,,
AGRO-K CORPORATION,10036,36,Statip,17,100,200601,201506,3,SOMEWHAT UNLIKELY,74,89,89,56,136,89,125,125,74,210,28,59,42,14,17,1,2,1,0,2,1,2,2,5,3,3,4,3,2,0,1,0,2,0,2,0,2,0,0,4,0,1,0,0,1,0,1,1,0,3,1700,21,22,23,11,17,23,6,23,3,1,2,3,3,2,1,1,0,2,1,2,2,3,3,1,0,1,2,5,1700,69,6900,98,113,0.87,,,,,,,,,,,,,
"AGROFRESH, INC., A WHOLLY OWNED SUBSIDIARY OF",10037,37,mathstring,14,195,200807,201104,0,MOST LIKELY,76,91,91,57,140,85,119,119,100,174,36,75,11,81,31,2,1,0,3,2,4,2,2,1,0,4,1,0,5,1,0,2,1,1,3,3,1,0,1,3,2,2,1,4,0,3,4,1,1,0,2730,14,13,17,12,0,0,4,12,3,3,0,1,0,1,2,3,0,3,3,3,2,2,1,2,2,0,2,2,2730,89,17355,15,33,0.45,,,,,,,,,,,,,
"AGROSOURCE, INC.",10038,38,mathstring,20,195,201008,201507,3,SOMEWHAT UNLIKELY,121,145,145,91,223,121,170,170,136,253,16,20,48,19,20,3,2,1,0,2,2,0,0,0,2,5,0,1,4,0,2,3,2,1,1,0,2,4,1,2,1,1,2,1,0,4,5,1,1,1,3900,12,23,14,21,14,29,6,29,2,1,3,0,4,0,1,2,3,1,3,3,0,0,1,3,0,1,3,3,3900,83,16185,55,59,0.93,,,,,,,,,,,,,
"AGSAVER, LLC",10039,39,openfix,19,295,200601,201507,3,SOMEWHAT UNLIKELY,123,147,147,92,226,123,172,172,141,250,38,46,8,44,55,3,1,1,2,3,1,4,1,3,3,2,0,1,1,1,5,2,2,1,0,0,1,1,1,4,4,0,5,2,1,3,1,1,1,2,5605,25,25,30,26,21,14,6,14,0,0,2,1,4,3,0,0,3,1,0,1,3,3,2,0,0,3,3,3,5605,26,7670,115,114,1.01,,,,,,,,,,,,,
AGSURF CORPORATION,10040,40,Voyalight,9,150,201110,201110,0,MOST LIKELY,87,105,105,66,161,91,128,128,103,188,33,54,8,30,46,1,2,5,2,0,2,5,1,0,3,2,3,1,2,2,1,2,1,5,1,2,5,1,1,1,0,3,1,0,1,2,0,1,2,4,1350,15,17,16,18,10,0,5,10,2,0,1,2,4,0,3,3,3,3,0,2,2,1,3,0,3,1,3,2,1350,40,6000,1,0,1,,,,,,,,,,,,,
"AHIMSA ALTERNATIVE, INC., THE",10041,41,Statip,7,100,201007,201507,0,MOST LIKELY,60,72,72,45,113,77,107,107,79,167,22,52,29,49,35,0,0,2,5,1,1,1,3,0,2,3,1,0,0,0,0,2,1,2,2,2,0,1,2,1,1,0,0,2,4,2,2,2,1,1,700,24,14,15,15,20,29,6,29,0,1,3,1,2,1,0,1,0,0,2,1,1,2,2,3,1,3,2,4,700,86,8600,61,60,1.02,,,,,,,,,,,,,
AIR TECHNIQUES INC.,10042,42,labfax,7,495,200801,201108,3,SOMEWHAT UNLIKELY,130,156,156,97,239,127,177,177,129,276,19,69,43,20,35,0,2,0,0,0,1,2,1,3,1,1,2,5,0,1,1,1,1,2,1,2,1,1,2,0,2,2,5,4,2,2,4,1,2,3,3465,11,21,26,0,0,0,3,26,2,1,3,1,1,2,1,0,3,3,2,1,0,1,0,1,3,1,1,5,3465,91,45045,22,43,0.51,,,,,,,,,,,,,
AIREX LABORATORIES,10043,43,solbam,19,85,201201,201207,0,MOST LIKELY,52,63,63,39,96,71,100,100,60,169,12,40,49,9,42,2,4,0,0,1,0,4,3,1,1,3,1,1,1,0,3,1,3,1,3,1,1,3,0,1,3,1,2,0,1,1,0,2,1,2,1615,20,12,28,0,0,0,3,28,2,3,2,1,1,3,3,2,2,3,2,3,0,0,5,0,1,2,1,0,1615,59,5015,5,6,0.83,,,,,,,,,,,,,
"AIRGAS SPECIALTY GASES, INC.",10044,44,signtouch,20,395,200601,201502,0,MOST LIKELY,77,92,92,58,142,80,112,112,103,155,25,20,35,39,32,1,4,1,1,3,2,4,1,2,1,3,2,1,1,2,0,2,1,0,0,5,0,4,2,0,2,3,1,0,0,3,0,1,0,0,7900,28,24,29,0,0,0,3,29,1,3,0,3,5,0,0,0,0,5,1,1,1,2,2,0,1,0,3,5,7900,62,24490,63,109,0.58,,,,,,,,,,,,,
AIRKEM PROFESSIONAL PRODUCTS,10045,45,mathstring,20,195,201110,201110,0,MOST LIKELY,73,88,88,55,134,79,111,111,66,187,32,57,15,20,11,0,0,1,0,1,1,1,2,1,2,1,1,1,2,1,1,3,0,3,0,1,1,2,3,3,0,1,0,0,4,3,2,2,1,1,3900,14,15,10,13,0,0,4,13,1,2,3,2,5,0,1,2,0,3,1,3,3,3,1,2,3,2,1,4,3900,52,10140,1,0,1,,,,,,,,,,,,,
"AIS SPECIALTY PRODUCTS, INC.",10046,46,solbam,17,85,200601,201507,0,MOST LIKELY,83,100,100,62,153,91,127,127,92,197,10,17,45,38,37,2,2,0,5,2,1,0,2,3,1,4,3,2,1,2,1,1,1,1,5,0,0,2,2,1,1,3,2,5,1,1,1,2,2,2,1445,13,15,20,15,16,0,5,16,0,0,0,3,1,0,2,0,3,0,3,0,2,0,0,3,3,1,3,5,1445,24,2040,114,114,1,,,,,,,,,,,,,
AKZO NOBEL SURFACE CHEMISTRY LLC,10047,47,apstring,15,90,200809,201105,3,SOMEWHAT UNLIKELY,93,112,112,70,172,94,132,132,88,214,35,97,28,22,33,3,0,1,0,1,1,1,2,2,2,1,3,3,0,4,4,3,0,1,3,1,3,0,1,2,1,2,1,2,5,1,1,0,0,4,1350,17,29,11,20,10,0,5,10,0,2,0,0,0,1,2,3,1,3,1,3,0,1,1,2,3,2,2,4,1350,74,6660,26,32,0.81,,,,,,,,,,,,,
